questionId,cardId,category,riskReasons,duplicateQuestionIds,question,answer,explanation,cardTitle,cardDetail
q_science_005,card_science_005,science,stable_comparison,,シャボンの泡が丸くなる理由に関係する物理現象は？,表面張力,シャボン玉が丸くなるのは「表面張力」が働くためです。液体の表面はできるだけ面積を小さくしようと収縮します。体積が同じ場合、球体が最も表面積が小さくなるため、空気を含んだシャボン膜は自然と綺麗な丸い形になります。,シャボン玉が丸い理由,液体の表面が縮まろうとする「表面張力」の影響で、シャボン玉は最も表面積が小さくて安定した形である「球体」へと変化します。
q_food_007,card_food_007,food,biological_anatomy,,高級食材の「キャビア」は、何という魚の卵？,チョウザメ,キャビアは「チョウザメ」の卵の塩漬けです。チョウザメはその名に「サメ」と付きますが、一般的なサメの仲間（軟骨魚類）ではなく、シーラカンスなどと同じ古代魚の生き残り（硬骨魚類）に分類されます。,キャビアの正体,世界三大珍味のキャビアはチョウザメの卵。チョウザメは名前に反してサメの仲間ではなく、ウロコがサメに似ているだけの古代魚です。
q_language_005,card_language_005,language,stable_comparison|legal,,慣用句「大詰（おおづめ）」の語源となったジャンルは？,歌舞伎などの演劇,物事の最終局面を意味する「大詰」は、歌舞伎の専門用語が語源です。江戸時代の歌舞伎の多幕物において、一番最後の幕のことを「大詰」と呼んでおり、そこからストーリーの最終的な大結末を指す言葉として一般に広がりました。,大詰の知られざる語源,将棋の「詰み」が連想されがちな「大詰」ですが、実は歌舞伎の最終幕を指す言葉がルーツで、物語の結末から転じた言葉です。
q_nature_geography_007,card_nature_geography_007,nature_geography,numeric|stable_comparison,,世界で一番多くの国と国境を接している国はどこ？,中国,世界で最も多くの国と陸上で国境を接しているのは「中国」です。ロシア、モンゴル、北朝鮮、インド、ベトナムなど、合計14カ国と国境を接しています。なお、ロシアも同じく14カ国と接しており、両国が世界最多タイです。,世界最多の国境を持つ国,広大な国土を持つ中国とロシアは、それぞれ14もの国々と陸の国境を接しており、世界で最も隣国が多い国となっています。
q_living_things_007,card_living_things_007,living_things,biological_anatomy,,ペンギンが冷たい氷の上でも足が凍らない理由は？,特殊な血管の熱交換システム,ペンギンの足には「ワンダーネット（奇驚網）」という特殊な熱交換血管システムがあります。心臓からの温かい動脈血が、足先からの冷たい静脈血をあらかじめ温めることで、足の冷たさが体幹に伝わるのを防ぎ、同時に足先が凍結するのを防いでいます。,ペンギンの凍らない足,ペンギンの足元には、温かい血液と冷たい血液の間で熱を効率よく循環させる天然の床暖房のような血管網システムが備わっています。
q_history_006,card_history_006,history,numeric,,江戸時代に実在した、1年の長さを決める暦の役職は？,天文方（てんもんかた）,江戸幕府が設置した、天体観測や暦の作成（改暦）を行う専門の役職を「天文方」と呼びます。初代天文方には映画の題材にもなった渋川春海が任命され、それまで使われていた中国の暦から、日本独自の「貞享暦」を完成させました。,星を読んで暦を作った男たち,天体を観測して日本の正確な時間を支配した「天文方」。彼らの正確な計算によって、江戸時代の太陰暦カレンダーが作られていました。
q_nature_geography_008,card_nature_geography_008,nature_geography,numeric,,地図で使う日本の標高0メートルの基準はどこ？,東京湾の平均海面,日本の標高は、測量法上、東京湾の平均海面を0mとする。実際の測量では東京・三宅坂の日本水準原点も高さの基準として使われる。,標高ゼロの出発点,日本の地図や測量で使う高さは、東京湾平均海面を0mとする考え方を土台にしている。
q_living_things_008,card_living_things_008,living_things,numeric|biological_anatomy,,海のタコの心臓は、一般にいくつある？,3つ,タコなど頭足類には心臓が3つある。2つはえらへ血液を送り、残る1つが酸素を受け取った血液を全身へ送る。,タコは三つの心臓,頭足類の心臓は役割分担型。二つがえらへ、一つが全身へ血液を送る。
q_living_things_009,card_living_things_009,living_things,biological_anatomy,,タコの血が青く見える主な理由は何？,銅を含むヘモシアニンで酸素を運ぶ,タコの血は鉄を含むヘモグロビンではなく、銅を含むヘモシアニンで酸素を運ぶため、青く見える。,青い血のひみつ,ヘモシアニンは銅を含む酸素運搬タンパク質で、鉄を含む人の血と色が違う。
q_history_007,card_history_007,history,numeric,,日本にかつてあった西部標準時の地域は？,台湾と八重山・宮古地方,日本では1896年から1937年まで、西部標準時が置かれた時期があった。対象は台湾のほか、沖縄県の八重山・宮古地方だった。,二つあった日本時間,かつて日本標準時とは別に西部標準時があり、台湾や沖縄の一部で使われた時期がある。
q_science_006,card_science_006,science,stable_comparison,,雷そのものの正体として最も近いものは？,大気中で起きる放電現象,気象庁は、雷を大気中で電荷分離が起こり放電する現象と説明している。音が雷鳴、光が電光である。,雷は空の放電,雷は雲内や雲と地上の間で電荷が偏り、放電するときに光や音を生む現象。
q_food_009,card_food_009,food,biological_anatomy,,タマネギを切ると涙が出る主な原因は？,硫黄を含む催涙性物質ができる,タマネギの細胞が切られると、酵素反応で硫黄を含む催涙性物質ができ、目を刺激して涙が出る。,涙を呼ぶタマネギ,細胞が壊れることで酵素反応が進み、目を刺激する揮発性の物質が作られる。
q_daily_life_006,card_daily_life_006,daily_life,numeric,,PETボトル識別マークの『1』の由来は？,米国のSPIコード,PETボトルの識別表示にある「1」は、米国プラスチック産業協会のSPIコードに由来する。分別ではこのマーク確認が確実とされる。,PETマークの1,PETボトルの識別表示にある数字は、素材を区別するコード体系に由来する。
q_nature_geography_010,card_nature_geography_010,nature_geography,numeric|stable_comparison,,世界で最も長い川「アマゾン川」に一つもない建造物は？,橋,流域面積世界一、長さも世界トップクラスのアマゾン川の本流には、一般の乗り物が渡れる「橋」が一つもありません。周辺が深いジャングルで道路網が発達していないことや、雨季に川幅が数十キロメートルにも広がることが理由です。移動は主に船が使われます。,アマゾン川にないもの,"長さ約6,400キロメートルにおよぶアマゾン川ですが、本流をまたぐ橋はゼロ。自然環境の過酷さと船社会の文化を象徴しています。"
q_living_things_010,card_living_things_010,living_things,numeric|stable_comparison|biological_anatomy,,カタツムリの歯の数は、およそいくつある？,約2万本,カタツムリには「歯舌（しぜつ）」と呼ばれるおろし金のような器官があり、そこには約1万〜2万本以上の小さな歯が並んでいます。このおろし状の歯を使って、コンクリートや植物の葉を削り取るようにして食べています。歯の数では地球上で最も多い生き物の一種です。,おろし金を持つカタツムリ,のんびり歩くカタツムリですが、口の中には1万本を超える微細な歯がぎっしり。コンクリートすら削る強靭な食事システムです。
q_history_008,card_history_008,history,numeric,,中世ヨーロッパの「騎士」の鎧の重さは平均どれくらい？,約25kg,中世の戦場で使われたフルプレートアーマー（全身板金鎧）の重さは、平均して約20〜30キログラム（現代の兵士の装備や消防士の防護服と同等）です。重量が全身に分散するように設計されていたため、騎士は鎧を着たままでも走ったり馬に乗ったりできました。,騎士の鎧の本当の重さ,動けないほど重いイメージのある西洋の鎧ですが、実際は約25kg程度。優れた設計により、戦場を自在に駆け回る機動性がありました。
q_science_007,card_science_007,science,numeric|stable_comparison,,ダイヤモンドを燃やすと、最終的に何に変わる？,煙（二酸化炭素）,ダイヤモンドは純粋な「炭素」の結晶であるため、酸素が十分にある環境で約800℃以上に加熱して燃やすと、すべて酸素と結びついて「二酸化炭素（気体）」になり、灰すら残さず完全に消えてなくなります。,消える最高の宝石,世界で最も硬い宝石のダイヤモンドですが、正体は炭素の塊。火をつければ二酸化炭素となって、跡形もなく空気中に消え去ります。
q_language_007,card_language_007,language,dynamic_price,,「うだつが上がらない」の「うだつ（卯建）」の正体は？,町家の屋根にある防火壁,「うだつ」とは、日本のおもに町家で隣家との境に設置された「防火壁（小さな屋根付きの壁）」のことです。これを作るには多額の費用がかかったため、うだつがある家は出世した裕福な家とされ、そこから「地位が上がらない、冴えない」状態を指す慣用句になりました。,うだつが上がらないの正体,慣用句で使われる「うだつ」は、火災から家を守るための建築設備のこと。お金持ちしか建てられなかったことが語源です。
q_daily_life_007,card_daily_life_007,daily_life,numeric,,メトロポリタン美術館の「The Cloisters Playing Cards」は何枚そろった一組？,52枚,メトロポリタン美術館の作品解説によると、この15世紀のカード一組は52枚で、4つのスートから成る。,15世紀の52枚のカード,メトロポリタン美術館の「The Cloisters Playing Cards」は、15世紀の通常のプレイングカードとして唯一知られる完全な一組で、52枚・4スートから成る。
q_nature_geography_011,card_nature_geography_011,nature_geography,numeric|current_fact,,オーストラリアの首都はどこ？,キャンベラ,オーストラリアの首都は「キャンベラ」です。2大都市であるシドニーとメルボルンが首都の座を巡って激しく争ったため、1908年に両都市のほぼ中間地点に位置するキャンベラを新首都として建設し、妥協案として決定した歴史があります。,妥協から生まれた首都,大都市同士の譲れないプライド論争を解決するため、何もない荒野に計画都市として建設されたのが、現在の首都キャンベラです。
q_living_things_011,card_living_things_011,living_things,biological_anatomy,,イヌの肉球にしかない、体の中で唯一の機能は？,汗をかく汗腺,イヌやネコは全身に汗腺を持たず、基本的にハアハアという呼吸（パンティング）で体温調節をしますが、唯一「肉球」の間にだけ、汗をかく「エクリン汗腺」があります。ここから汗をかくことで、滑り止めや足裏の乾燥を防ぐ役割を果たしています。,肉球のじっとりした秘密,もふもふの体を持つペットたち。彼らが唯一汗を流せるのがチャームポイントの肉球です。緊張すると足跡が湿ることもあります。
q_nature_geography_012,card_nature_geography_012,nature_geography,numeric,,アフリカ大陸の最高峰「キリマンジャロ」の山頂にある珍しい自然現象は？,熱帯地方の氷河,"赤道に近いタンザニアに位置するキリマンジャロ（標高5,895メートル）ですが、その山頂付近には「氷河（万年雪）」が存在します。熱帯地域にありながら山頂が常に白く輝く神秘的な光景として知られますが、近年は地球温暖化などの影響で急速に縮小しています。",赤道の氷河キリマンジャロ,"アフリカの赤道直下でありながら、標高約6,000メートルの山頂には氷河が広がります。世紀を超えて登山家を魅了する大自然の奇跡です。"
q_living_things_012,card_living_things_012,living_things,biological_anatomy,,ウサギが自分の「うんち」を食べる理由は？,栄養をもう一度吸収するため,ウサギは一度の消化では植物の栄養を十分に吸収できないため、「盲腸糞（もうちょうふん）」と呼ばれる、ビタミンやタンパク質が豊富に含まれた柔らかい糞を出します。これを直接口をつけて再び食べる（食糞）ことで、大切な栄養を効率よく体に摂取しています。,ウサギの知られざる食事法,ウサギが食べるのは、普段見るコロコロした糞ではなく、栄養が詰まった特別な柔らかい糞。健康を維持するための本能的な行動です。
q_history_009,card_history_009,history,numeric,,大英博物館のロゼッタ・ストーンに刻まれた3種類の文字に含まれないものは？,ラテン文字,大英博物館の作品記録によると、ロゼッタ・ストーンにはヒエログリフ、デモティック、ギリシャ文字の3つの文字体系で同じ勅令が刻まれている。ラテン文字は含まれない。,ロゼッタ・ストーンの3種類の文字,大英博物館の作品記録によると、紀元前196年のロゼッタ・ストーンには、ヒエログリフ14行、デモティック32行、ギリシャ文字54行で勅令が刻まれている。ラテン文字ではない。
q_science_008,card_science_008,science,numeric|current_fact,,造幣局の「Circulating Coin Designs」で、現在の1円硬貨の素材は？,純アルミニウム,造幣局は、1円硬貨の素材をアルミニウム、組成を純アルミニウム、重さを1.0g、直径を20.0mmと示している。,1円アルミニウム硬貨,造幣局の「Circulating Coin Designs」は、現在の1円硬貨を純アルミニウム製、重さ1.0g、直径20.0mmとしている。
q_food_011,card_food_011,food,numeric|current_fact,,唐辛子の辛味成分カプサイシンが活性化する受容体は？,TRPV1,1997年のNature論文は、カプサイシンに反応する受容体をクローニングし、熱でも活性化するイオンチャネルとして報告しました。現在、この受容体はTRPV1と呼ばれます。,辛さと熱を感じるTRPV1,1997年の原著論文は、カプサイシン受容体を熱でも活性化するイオンチャネルとして報告した。この受容体は現在TRPV1と呼ばれる。
q_daily_life_008,card_daily_life_008,daily_life,numeric,,英国HSEの安全標識ガイダンスL64で、緑色が示す用途は？,非常口・避難経路や応急手当,HSEのL64表1は、緑を非常脱出・応急手当の標識に割り当て、扉、出口、避難経路、設備、施設を示すとしている。,安全標識の緑色,英国HSEの安全標識ガイダンスL64表1では、緑色は非常脱出・応急手当の標識に使われ、扉、出口、避難経路、設備、施設を示す。
q_nature_geography_013,card_nature_geography_013,nature_geography,numeric|dynamic_ranking,,日本に約400ある有人離島の中で、最も人口が多い島はどこ？,淡路島（兵庫県）,沖縄本島などを除く、日本のいわゆる「離島（本土5島以外の有人島）」の中で最も人口が多いのは「淡路島」です。約12万人の人口を擁し、神戸や徳島と大きな橋で結ばれているため交通の便も良く、独自の産業や観光地として大きく栄えています。,日本一人口の多い離島,佐渡島や奄美大島を抑えて人口トップを誇る淡路島。玉ねぎの特産やテーマパークも多く、島でありながら大都市並みの活気があります。
q_living_things_013,card_living_things_013,living_things,numeric|stable_comparison,,鳥類の中で唯一、前だけでなく「後ろ」にも飛べる鳥は？,ハチドリ,世界最小の鳥の仲間である「ハチドリ」は、1秒間に数十回という高速で羽ばたきながら、空中の一点にとどまるホバリングができるだけでなく、鳥類で唯一、そのまま「後ろ向き」や「上下逆さま」に飛行する高度なテクニックを持っています。,バックできる唯一の鳥,花の蜜を吸うために進化したハチドリの羽は、肩の関節が自由に回転する特殊な構造をしており、バックギアを入れたような後退飛行が可能です。
q_nature_geography_014,card_nature_geography_014,nature_geography,numeric,,日本で霧ともやを分ける気象上の目安は何？,視程,気象庁では、霧は微小な水滴で視程が1km未満の状態、もやは視程が1km以上10km未満の状態として区別している。,霧ともやの境目,霧ともやは雰囲気ではなく、気象上は水平方向にどれだけ見通せるかで区別される。
q_living_things_017,card_living_things_017,living_things,biological_anatomy,,サンゴの白化で体内から失われやすいものは？,共生藻,水温が高すぎるなどのストレスで、サンゴは体内に共生する藻類を放出することがある。これにより白く見える。,サンゴ白化の正体,白化したサンゴはすぐ死んだとは限らないが、共生藻を失って強いストレス状態に置かれている。
q_history_011,card_history_011,history,numeric,,世界初の粘着式郵便切手として有名なのは？,ペニー・ブラック,1840年にイギリスで発行されたペニー・ブラックは、世界初の粘着式郵便切手として知られる。ビクトリア女王の横顔が描かれた。,世界初の切手,ペニー・ブラックは郵便料金を前払いする仕組みを広め、近代郵便制度の象徴的な存在になった。
q_history_012,card_history_012,history,numeric,,富岡製糸場が操業を始めた年として正しいのは？,1872年,富岡製糸場は1872年に設立された、日本初期の本格的な器械製糸工場。明治の近代化と生糸輸出を支えた。,近代製糸の出発点,富岡製糸場は、近代的な機械製糸を日本に導入した重要な施設で、世界遺産にも登録されている。
q_history_013,card_history_013,history,numeric,,日本がメートル条約に正式加盟した年は？,1885年,日本は1885年にメートル条約へ正式加盟し、国際的な計量の枠組みに加わった。のちの度量衡整備にもつながる。,メートル法への参加,メートル条約への加盟は、日本が長さや質量の国際基準を共有する近代的な計量制度へ進む一歩だった。
q_science_009,card_science_009,science,current_fact,,GPS衛星の位置測定で重要な装置はどれ？,原子時計,GPSは衛星から届く信号の時刻差を使って位置を求める。衛星には非常に精密な原子時計が搭載されている。,GPSの時計,スマホの現在地表示の裏側では、衛星からの信号が届く時間差を精密に測る仕組みが働いている。
q_food_012,card_food_012,food,stable_comparison,,食品の消費期限に最も近い意味はどれ？,安全に食べられる期限,消費期限は安全に食べられる期限の目安。賞味期限はおいしく食べられる期限なので、意味が異なる。,消費期限と賞味期限,消費期限は傷みやすい食品で特に重要。賞味期限と混同せず、表示の意味を分けて考える必要がある。
q_food_013,card_food_013,food,human_health,,ジャガイモの芽に多い天然毒素はどれ？,ソラニンやチャコニン,ジャガイモの芽や緑色になった部分には、ソラニンやチャコニンが多く含まれる。食中毒予防には十分に取り除くことが大切。,芽の毒に注意,家庭菜園や長期保存のジャガイモでは、芽や緑色の皮に天然毒素が増えることがある。
q_daily_life_009,card_daily_life_009,daily_life,numeric,,3Rで最初に取り組むとされるRはどれ？,Reduce,3RはReduce、Reuse、Recycleの順番で取り組むことが求められる。まずはごみや資源消費を発生段階で減らす考え方。,3Rの最初,リサイクルは大切だが、3Rではまず発生を抑えるReduce、次に繰り返し使うReuseが重視される。
q_daily_life_010,card_daily_life_010,daily_life,numeric,,日本の火災通報番号が119番になった理由は？,112番の誤接続が多かったため,日本の火災通報は当初112番だったが、かけ間違いが多く、1927年から119番に変更されたとされる。,119番の由来,119番は最初から当然だったわけではなく、電話の仕組みや誤接続の問題を受けて選ばれた番号だった。
