questionId,cardId,category,difficulty,question,choice0,choice1,choice2,choice3,answerIndex,explanation,cardTitle,cardShortText,cardDetailText,cardRarity,imageAsset,imageReviewStatus,imageReviewedAt,imageReviewNote,sourceTitle,sourcePublisher,sourceUrl,verifiedAt,verificationLevel,reviewStatus,reviewNote,contentHash
q_lang_002,card_lang_002,language,normal,「ほんのわずかな時間」を表す「瞬き」にまつわる言葉は？,一瞬,一目,一息,一汗,0,「一瞬」は「瞬き（まばたき）する間」という意味。サンスクリット語の「ksana（刹那）」の訳語として作られた漢語だよ。,一瞬,「瞬きする間」という意味。,「一瞬」はサンスクリット語「ksana（刹那）」の訳語。まばたきするほんのわずかな時間を表す。,normal,assets/images/cards/card_lang_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,36b4c9d752ecf27a4baabfc26d7cc54d9d4549de5dcb9257dee8df489f930da8
q_life_001,card_life_001,daily_life,easy,マンホールのふたが丸い理由として正しいのは？,落ちないから,転がしやすいから,製造が簡単だから,デザインが美しいから,0,丸いふたは斜めにしても穴に落ちないから。四角いふただと対角線が辺より長いため、落ちる可能性があるんだ。,マンホールのふた,丸い理由は落ちないから。,丸いマンホールのふたは、どの向きにしても穴より大きいので落ちない。四角いふただと対角線が辺より長いため落ちる危険がある。,normal,assets/images/cards/card_life_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,797311b8a76978068e1dd4cc14efdce9e40c7da9da610e6b16a6371580f6c19b
q_life_002,card_life_002,daily_life,easy,信号機の色が赤・黄・青の3色なのはなぜ？,光の波長で最も遠くまで届く色だから,花の色から取ったから,国旗の色を集めたから,目に優しい色だから,0,赤は波長が長く遠くまで届くため「止まれ」に使われる。青（実際は緑）はその中間。黄色は注意を促す色として選ばれたんだ。,信号機の色,遠くまで届く色が選ばれた。,赤は波長が長く遠くまで届くため「止まれ」に採用された。青（実際は緑）はその中間。信号機の3色は光の性質に基づいて選ばれている。,normal,assets/images/cards/card_life_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,e257ceb397c5c3650f3e95406c5a8492e250a93de16dfe24b7a627dc407db048
q_geo_003,card_geo_003,nature_geography,normal,世界でいちばん標高が高い山は？,K2,エベレスト,キリマンジャロ,マッキンリー,1,"エベレストの標高は8,848m。世界で最も高い山で、ネパールと中国の国境にあるよ。",エベレスト,"世界最高峰。標高8,848m。",エベレストはヒマラヤ山脈にある世界最高峰。ネパールと中国（チベット）の国境に位置する。,rare,assets/images/cards/card_geo_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,ca29ad7fd789f69b2a7e2470b7a17a2e43073cd5ca06949acdd8b79c3f39d5a6
q_bio_003,card_bio_003,living_things,normal,コウイカの体内にある「甲（カトルボーン）」の主な役割は？,浮力を調節する,獲物を切る,墨を作る,音を出す,0,コウイカの甲は多数の小部屋を持つ軽い内部構造で、研究論文では高度な浮力装置と説明されています。体内で浮き沈みを調節する役割があります。,コウイカの浮力装置,体内の甲が浮力を調節する。,コウイカの甲（カトルボーン）は多数の小部屋を持つ軽量な内部構造で、研究論文では高度な浮力装置と説明されている。,rare,assets/images/cards/card_bio_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,"The cuttlefish Sepia officinalis (Sepiidae, Cephalopoda) constructs cuttlebone from a liquid-crystal precursor",Scientific Reports,https://www.nature.com/articles/srep11513,2026-07-15,primary,approved,The original research article identifies cuttlebone as the sophisticated buoyancy device of cuttlefish.,b740629b9ebd0bea7b475259b8114ce4a65b7becd5a66d1986f03e0f39eec7fe
q_his_003,card_his_003,history,normal,日本の紙幣に初めて肖像画が使われたのはいつ？,明治時代,大正時代,昭和時代,平成時代,0,日本で初めて肖像画入りの紙幣は1885年（明治18年）発行の日本銀行券。神功皇后の肖像が使われていたんだ。,紙幣の肖像,日本初の肖像画紙幣は1885年。,日本で初めて肖像画が使われた紙幣は1885年発行の日本銀行券。神功皇后の肖像が描かれていた。,normal,assets/images/cards/card_his_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,0b0de51c2d8474ace2c7f036b207858838ef48cfb6c7dc914bba048b94ce49ca
q_sci_003,card_sci_003,science,hard,絶対零度は何℃？,-100℃,-173℃,-273℃,-373℃,2,絶対零度は-273.15℃。これより低い温度は理論上存在しないとされているんだ。,絶対零度,理論上の最低温度。-273.15℃。,絶対零度は-273.15℃。この温度では原子の動きが理論上停止する。これより低い温度は存在しないとされている。,rare,assets/images/cards/card_sci_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,c0a7d555cccdef8824f3121a882275d25c6d4584c1527a7b47283319fc15e49d
q_food_003,card_food_003,food,normal,ワサビの本来の原材料は何の植物？,大根,山葵,西洋わさび,からし菜,1,本わさびは「山葵」という植物の根茎をすりおろしたもの。スーパーで売っているチューブわさびの多くは「西洋わさび」が主原料なんだ。,本わさび,山葵の根茎をすりおろしたもの。,本わさびはアブラナ科の植物「山葵」の根茎から作られる。一般のチューブわさびは「西洋わさび」（ホースラディッシュ）が主原料。,normal,assets/images/cards/card_food_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,9e7f61660cab9e0c911cd4b2769dab4e53409cdd35d423d134c4fe07e2801e08
q_lang_003,card_lang_003,language,easy,外務省のヘボン式ローマ字綴方表で、ひらがなの「し」はどう書く？,SHI,SI,CHI,JI,0,外務省の旅券用ヘボン式ローマ字綴方表では、ひらがなの「し」はSHIと表記されます。訓令式などで使われるSIとは異なります。,ヘボン式の「し」,外務省の表記はSHI。,外務省の旅券用ヘボン式ローマ字綴方表では、ひらがなの「し」をSHIと表記する。SIとする方式とは綴りが異なる。,normal,assets/images/cards/card_lang_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,ヘボン式ローマ字綴方表,外務省,https://www.mofa.go.jp/mofaj/toko/passport/download/romaji.html,2026-07-15,primary,approved,外務省の旅券用ヘボン式ローマ字綴方表は、ひらがなの「し」をSHIと示している。,f150d1c4ad250c4000fd26437a2635ab33657e81905ffcf058b8cc0b94fade5b
q_life_003,card_life_003,daily_life,normal,消しゴムで鉛筆の字が消えるのはなぜ？,摩擦で紙の表面が削れるから,消しゴムがインクを吸収するから,熱でインクが蒸発するから,化学反応で透明になるから,0,消しゴムでこすると、紙の表面ごと鉛筆の黒鉛を削り取っているんだ。消しゴムのかすは削り取られた紙と黒鉛のカスなんだよ。,消しゴムの原理,紙の表面を削って消している。,消しゴムが鉛筆の字を消せるのは、摩擦で紙の表面ごと黒鉛を削り取っているから。消しかすは紙と黒鉛のカスなんだ。,normal,assets/images/cards/card_life_003.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,c61f5eabb3ece297b0c357fd0602c40e1f0313661df0ce56913e3f3df05fb9bf
q_geo_004,card_geo_004,nature_geography,hard,2009年、火星を想定した掘削調査で生命検出チップが試験された砂漠は？,サハラ砂漠,アタカマ砂漠,ゴビ砂漠,モハーベ砂漠,1,研究チームはチリのアタカマ砂漠で火星を想定した掘削調査を行い、生命検出チップを現地で試験した。この技術は、火星で生命を探すための惑星探査技術として評価された。,火星探査とアタカマ砂漠,火星の生命探査技術が試験された。,2009年、研究チームはチリのアタカマ砂漠で火星を想定した掘削調査を行い、生命検出チップを現地で試験した。検出技術は、火星で生命を探すための惑星探査技術として評価された。,rare,assets/images/cards/card_geo_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,A microbial oasis in the hypersaline Atacama subsurface discovered by a life detector chip: implications for the search for life on Mars,"Astrobiology (Mary Ann Liebert, Inc.)",https://pubmed.ncbi.nlm.nih.gov/22149750/,2026-07-13,primary,approved,,c287a5ca5263d64c8ba843f473983063c31b69dd2be46edcc87a76474edaddb9
q_bio_004,card_bio_004,living_things,normal,人間の骨の数は大人で約何本？,約106本,約206本,約306本,約406本,1,大人の人間の骨は約206本。赤ちゃんの時はもっと多くて約350本あるんだけど、成長するにつれて骨がくっついて減っていくんだ。,人間の骨,大人は約206本。赤ちゃんは約350本。,人間の骨は大人で約206本。赤ちゃんの時は約350本あるが、成長とともに骨が癒合して減っていく。,normal,assets/images/cards/card_bio_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,955aa8c0b10fc6631926984a107dbe960590db19bad19bd5075ecb8ac6dd6e24
q_his_004,card_his_004,history,hard,国宝に指定されている日本の城（現存天守）はいくつ？,1つ,2つ,3つ,5つ,3,姫路城、松本城、犬山城、彦根城、松江城の5つが国宝に指定されている現存天守だ。いずれも江戸時代以前から残る貴重な建造物なんだ。,国宝の城,日本に5つの国宝天守がある。,姫路城、松本城、犬山城、彦根城、松江城の5つが国宝に指定されている現存天守。いずれも江戸時代以前から残る貴重な建造物。,rare,assets/images/cards/card_his_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,57f36ce21b9df559f68c2b1274bd43a7501420da977b7b4a2f6d5c960309025b
q_sci_004,card_sci_004,science,normal,地球の表面の約何%が海で覆われている？,約50%,約60%,約70%,約80%,2,地球表面の約70%は海。地球は「水の惑星」と呼ばれることもあるんだ。,地球は水の惑星,表面の約70%が海。,地球表面の約70%は海で覆われている。このため「水の惑星」とも呼ばれる。生命の存在が確認されている唯一の惑星。,normal,assets/images/cards/card_sci_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,a9cfe99295c874daf69d0a199e6935e1dcad362464261b1171db01d1990a4c2a
q_food_004,card_food_004,food,hard,カレーライスが日本で初めて紹介されたのは何時代？,江戸時代,明治時代,大正時代,昭和時代,1,日本にカレーが伝わったのは明治時代。イギリス経由で伝わり、当時の「西洋料理」の一つとして広まっていったんだ。,カレーの伝来,明治時代にイギリス経由で伝来。,日本にカレーが伝わったのは明治時代。イギリス経由で「西洋料理」の一つとして紹介され、独自の進化を遂げた。,normal,assets/images/cards/card_food_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,b823992af28d9f6d8336988cb04aa2b23f3913be9b12fd3bdb8a894ee873ba56
q_lang_004,card_lang_004,language,easy,日本語で「ら行」から始まる言葉が少ない理由として考えられるのは？,古語に「ら行」がなかったから,発音しにくいから,外国語の影響,方言の差,0,日本語では昔、「ら行」で始まる言葉（語頭にラ行が来る言葉）は非常に少なかった。これは上古日本語に語頭の「r」音を避ける傾向があったからだと言われているよ。,ら行の謎,日本語に「ら行」の語頭が少ない理由。,上古日本語には語頭に「r」音（ら行）が来る言葉を避ける傾向があった。これは多くの言語に見られる傾向で、日本語の特徴の一つ。,normal,assets/images/cards/card_lang_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,376cd7a73a8ce066a3dcb0eac45d69a1735c36b411ec0ca3e454f8b304aa9c28
q_life_004,card_life_004,daily_life,hard,米国のADA Accessibility Standards 407.3.5で、かご呼びに応答したエレベーターの扉が完全に開いた状態を保つ最低時間は？,1秒,3秒,5秒,20秒,1,U.S. Access BoardのADA Accessibility Standards 407.3.5は、かご呼びに応答したエレベーターの扉を完全に開いた状態で最低3秒保つと規定している。米国の特定規定であり、すべての国・機種の閉ボタンの挙動を示すものではない。,ADAのエレベーター扉遅延,かご呼びでは完全に開いた状態を最低3秒保つ。,U.S. Access BoardのADA Accessibility Standards 407.3.5は、かご呼びに応答したエレベーターの扉を完全に開いた状態で最低3秒保つと定めている。この規定だけから、他国や全機種で閉ボタンが無効だとは判断できない。,normal,assets/images/cards/card_life_004.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,Chapter 4: Accessible Routes,U.S. Access Board,https://www.access-board.gov/ada/chapter/ch04/,2026-07-13,primary,approved,,43c903ec5373a1523495fc023f602d4b27ad090b6addb457c0277ade7b2fd6ba
q_geo_005,card_geo_005,nature_geography,easy,日本でいちばん長い川は？,信濃川,利根川,石狩川,筑後川,0,日本最長の川は信濃川。長さは約367kmで、新潟県から長野県を流れているよ。,信濃川,日本最長の川。長さは約367km。,信濃川は新潟県から長野県を流れる日本最長の川。長野県内では千曲川と呼ばれ、新潟県に入って信濃川と呼ばれる。,normal,assets/images/cards/card_geo_005.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,日本の川 - 北陸 - 信濃川,国土交通省 水管理・国土保全局,https://www.mlit.go.jp/river/toukei_chousa/kasen/jiten/nihon_kawa/0405_shinano/0405_shinano_00.html,2026-07-12,primary,approved,,e5dbc7052fdd711b9a8576ef2ba7abea296135b55400938da433eb5f72c4e873
q_bio_005,card_bio_005,living_things,easy,ジャイアントパンダが主に食べるものは？,果物,竹,肉,魚,1,ジャイアントパンダは、ほぼ竹だけを食べて暮らしている。WWFによると、竹の部位に応じて1日に約12〜38kgを食べる。,パンダと竹,ほぼ竹だけを食べて暮らす。,ジャイアントパンダは、ほぼ竹だけを食べて暮らしている。WWFによると、竹の部位に応じて1日に約12〜38kgを食べる。,normal,assets/images/cards/card_bio_005.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,Giant pandas,World Wildlife Fund (WWF),https://www.worldwildlife.org/species/giant-panda/,2026-07-13,secondary,approved,,1c7e0080509afd261728ee6ad7a897732967aebcf058f03769fb2326081b26d4
q_nature_geography_001,card_nature_geography_001,nature_geography,easy,日本で最も高い山、富士山がまたがっている2つの県はどこでしょうか？,静岡県と山梨県,長野県と静岡県,山梨県と長野県,神奈川県と静岡県,0,富士山は静岡県と山梨県にまたがる独立峰です。実は山頂の大部分は私有地であり、境界線が明確に引かれていない場所も存在します。,富士山の県境,富士山が位置する2つの県について,日本最高峰の富士山は、静岡県と山梨県の両方に属しています。山頂付近は富士山本宮浅間大社の土地とされ、県境未定地となっています。,normal,assets/images/cards/card_nature_geography_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,d0c2e623e3e19ff9b3eb78bdfce17d8a9f0ac8c9df1ddbeb937e5887e5d78254
q_living_things_001,card_living_things_001,living_things,normal,ラッコが流されないように、寝るときに体に巻き付けるものは何でしょうか？,仲間の腕,サンゴ,海藻,大きな石,2,野生のラッコは、睡眠中に海流で沖へ流されないように、コンブなどの長い海藻を体にぐるぐると巻き付けて固定する習性があります。,ラッコの睡眠術,流されないための賢い工夫,プカプカと海に浮かんで眠るラッコ。海藻を命綱のように体に巻き付けることで、眠っている間に遠くへ流されるのを防いでいます。,normal,assets/images/cards/card_living_things_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,8445a2e639ef9bf27201c4070a83a661c01b77a20a9456150ddec4bb09fa7372
q_history_001,card_history_001,history,hard,1889年の完成当時、エッフェル塔は何のイベントのために建設されたでしょうか？,ナポレオン戴冠式,パリ万国博覧会,フランス革命100周年記念,普仏戦争の勝利記念,1,エッフェル塔は、フランス革命100周年を記念して開催された1889年の第4回パリ万国博覧会の入場門として建設されました。,エッフェル塔の誕生,万博のために建てられた巨大な門,当初は20年で解体される予定でしたが、無線通信のアンテナとして利用価値が認められたことで、現在まで保存されることになりました。,rare,assets/images/cards/card_history_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,c9eca076d866e211f9ea2c3317b2ec3aef51ecd07567b8de3c8bc097d8ad0b33
q_science_001,card_science_001,science,easy,宝石のダイヤモンドと同じ炭素のみでできている、身近な筆記用具の材料は何？,黒鉛（グラファイト）,石英,硫黄,粘土,0,ダイヤモンドと鉛筆の芯の原料である黒鉛は、どちらも炭素原子からなる同素体です。原子の結びつき方が違うだけで成分は同じです。,ダイヤと鉛筆の意外な関係,同じ成分からなる正反対の物質,最も硬いダイヤモンドと、紙にこすると削れるほど柔らかい黒鉛。構成元素はどちらも「炭素」ですが、結晶の構造が大きく異なります。,normal,assets/images/cards/card_science_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,bb1e57e7efc989be9a04187bc5f6b0daec471e73fa2c1c33bd5d34a42ce3fe33
q_food_005,card_food_005,food,normal,イチゴの表面にあるツブツブ。植物学的な分類では、このツブツブは何？,種子,果実,雄しべの跡,つぼみ,1,イチゴの表面にある粒は一つ一つが「果実」です。赤い部分は「花托」という茎の先端が膨らんだもので、正確には果実ではありません。,イチゴのツブツブ,実はツブツブこそが本当の果実,赤い部分は果実ではなく、花の一部が変化した「偽果」です。表面の粒の中に種が入っており、一粒一粒が植物学上の果実にあたります。,normal,assets/images/cards/card_food_005.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,The Strawberry: A Multiple Fruit,Carnegie Museums,https://carnegiemuseums.org/magazine-archive/1997/mayjun/dept4.htm,2026-07-15,primary,approved,Carnegie Museums explains that the fleshy portion is a receptacle and each surface achene is a true fruit containing a seed.,18e56d30323883c2ad3c06877a552a1e5db7c786c2dfb33521aa50e7f2197433
q_language_001,card_language_001,language,hard,フランス語の「sabotage（サボタージュ）」と語源的につながる履物「sabot」は何？,木靴,サンダル,革靴,布の靴,0,「sabotage」はフランス語の動詞saboterから派生し、saboterは木靴を表すsabotに由来する。CNRTLには、木靴で音を立てることや、仕事を速く粗雑に行うことなどの古い用法が記録されている。,サボタージュと木靴,語源のsabotは木靴,フランス語saboterには、木靴で音を立てることや、仕事を速く粗雑に行うことなどの古い用法が記録されている。sabotageはこの動詞から派生した語。,rare,assets/images/cards/card_language_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,SABOTER : Définition de SABOTER,Centre National de Ressources Textuelles et Lexicales (CNRTL),https://www.cnrtl.fr/definition/saboter,2026-07-13,secondary,approved,,cc197214156c132bb1381d398c7858dc009895e1258708ab26e2f2a1aa7c11ce
q_daily_life_001,card_daily_life_001,daily_life,normal,2013年に発表された日本の駅ホームの青色灯に関する観察研究で、分析対象となった駅は合計何駅？,11駅,60駅,71駅,100駅,2,この研究は、ある鉄道会社の2000〜2010年のデータを使い、青色灯を導入した11駅と導入していない60駅、計71駅を比較した。観察研究であり、青色灯が作用する仕組みは調べていない。,駅ホームの青色灯研究,2013年の観察研究は71駅を比較。,2013年の研究は、ある鉄道会社の2000〜2010年のデータを用い、青色灯を導入した11駅と導入していない60駅を比較した。論文は、単一の鉄道会社のデータに基づくことと、青色灯が作用する仕組みを検討していないことを限界としている。,normal,assets/images/cards/card_daily_life_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,Does the installation of blue lights on train platforms prevent suicide? A before-and-after observational study from Japan,Journal of Affective Disorders (Elsevier),https://pubmed.ncbi.nlm.nih.gov/22980401/,2026-07-13,primary,approved,,b3c9ca44034e6961a3d6378dbc57ebad0489f5f4593128797e4e26770c61f3b7
