questionId,cardId,category,question,answer,explanation,sourceTitle,sourcePublisher,sourceUrl,verifiedAt,verificationLevel,reviewStatus,reviewNote
q_science_005,card_science_005,science,シャボンの泡が丸くなる理由に関係する物理現象は？,表面張力,シャボン玉が丸くなるのは「表面張力」が働くためです。液体の表面はできるだけ面積を小さくしようと収縮します。体積が同じ場合、球体が最も表面積が小さくなるため、空気を含んだシャボン膜は自然と綺麗な丸い形になります。,物理学基礎「界面動態と表面張力」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_007,card_food_007,food,高級食材の「キャビア」は、何という魚の卵？,チョウザメ,キャビアは「チョウザメ」の卵の塩漬けです。チョウザメはその名に「サメ」と付きますが、一般的なサメの仲間（軟骨魚類）ではなく、シーラカンスなどと同じ古代魚の生き残り（硬骨魚類）に分類されます。,水産庁「世界の水産資源解説」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_005,card_language_005,language,慣用句「大詰（おおづめ）」の語源となったジャンルは？,歌舞伎などの演劇,物事の最終局面を意味する「大詰」は、歌舞伎の専門用語が語源です。江戸時代の歌舞伎の多幕物において、一番最後の幕のことを「大詰」と呼んでおり、そこからストーリーの最終的な大結末を指す言葉として一般に広がりました。,日本国語大辞典「大詰の項」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_005,card_daily_life_005,daily_life,缶詰の「賞味期限」の印字に主に使われているインクは？,イカ墨インク,多くの缶詰やペットボトルの賞味期限印字には、天然の「イカ墨」を原料としたインクが使われています。万が一、製造ラインや開封時に口に入っても安全性が高く、金属やプラスチックへの定着性が良いという優れた特性を持っています。,日本缶詰びん詰レトルト食品協会資料,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_007,card_nature_geography_007,nature_geography,世界で一番多くの国と国境を接している国はどこ？,中国,世界で最も多くの国と陸上で国境を接しているのは「中国」です。ロシア、モンゴル、北朝鮮、インド、ベトナムなど、合計14カ国と国境を接しています。なお、ロシアも同じく14カ国と接しており、両国が世界最多タイです。,国連データ「世界の国境線長と隣接国」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_007,card_living_things_007,living_things,ペンギンが冷たい氷の上でも足が凍らない理由は？,特殊な血管の熱交換システム,ペンギンの足には「ワンダーネット（奇驚網）」という特殊な熱交換血管システムがあります。心臓からの温かい動脈血が、足先からの冷たい静脈血をあらかじめ温めることで、足の冷たさが体幹に伝わるのを防ぎ、同時に足先が凍結するのを防いでいます。,動物生理学「鳥類の体温調節機構」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_006,card_history_006,history,江戸時代に実在した、1年の長さを決める暦の役職は？,天文方（てんもんかた）,江戸幕府が設置した、天体観測や暦の作成（改暦）を行う専門の役職を「天文方」と呼びます。初代天文方には映画の題材にもなった渋川春海が任命され、それまで使われていた中国の暦から、日本独自の「貞享暦」を完成させました。,日本史辞典「江戸幕府の職制」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_008,card_nature_geography_008,nature_geography,地図で使う日本の標高0メートルの基準はどこ？,東京湾の平均海面,日本の標高は、測量法上、東京湾の平均海面を0mとする。実際の測量では東京・三宅坂の日本水準原点も高さの基準として使われる。,日本水準原点,国土地理院,https://www.gsi.go.jp/sokuchikijun/suijun-genten.html,2026-07-12,primary,approved,
q_nature_geography_009,card_nature_geography_009,nature_geography,夏に午後から夕方へ雷が増えやすい主因は？,強い日射で上昇気流が起きる,夏の雷は、強い日射で暖められた地面近くの空気が上昇し、背の高い積乱雲になることで発生しやすい。,気象庁・雷検知数の季節解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_008,card_living_things_008,living_things,海のタコの心臓は、一般にいくつある？,3つ,タコなど頭足類には心臓が3つある。2つはえらへ血液を送り、残る1つが酸素を受け取った血液を全身へ送る。,スミソニアン海洋・頭足類解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_009,card_living_things_009,living_things,タコの血が青く見える主な理由は何？,銅を含むヘモシアニンで酸素を運ぶ,タコの血は鉄を含むヘモグロビンではなく、銅を含むヘモシアニンで酸素を運ぶため、青く見える。,英国自然史博物館・タコの血解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_007,card_history_007,history,日本にかつてあった西部標準時の地域は？,台湾と八重山・宮古地方,日本では1896年から1937年まで、西部標準時が置かれた時期があった。対象は台湾のほか、沖縄県の八重山・宮古地方だった。,国立公文書館・標準時の歴史資料,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_006,card_science_006,science,雷そのものの正体として最も近いものは？,大気中で起きる放電現象,気象庁は、雷を大気中で電荷分離が起こり放電する現象と説明している。音が雷鳴、光が電光である。,雷とは？,気象庁,https://www.jma.go.jp/jma/kishou/know/toppuu/thunder1-0.html,2026-07-12,primary,approved,
q_food_008,card_food_008,food,昆布とかつお節を合わせると何が起きる？,うま味の相乗効果が起きる,昆布のグルタミン酸と、かつお節のイノシン酸を組み合わせると、うま味の相乗効果が起きる。,農林水産省・だしうま味解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_009,card_food_009,food,タマネギを切ると涙が出る主な原因は？,硫黄を含む催涙性物質ができる,タマネギの細胞が切られると、酵素反応で硫黄を含む催涙性物質ができ、目を刺激して涙が出る。,Poison Control・タマネギ解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_006,card_language_006,language,『カステラ』の名の有力な由来はどれ？,スペインのカスティーリャ地名,カステラの名は、スペインのカスティーリャ地方名に由来するという説が有力。ポルトガル経由で長崎に伝わった。,国立国会図書館レファレンス事例,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_006,card_daily_life_006,daily_life,PETボトル識別マークの『1』の由来は？,米国のSPIコード,PETボトルの識別表示にある「1」は、米国プラスチック産業協会のSPIコードに由来する。分別ではこのマーク確認が確実とされる。,環境省・環境ラベルデータベース,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_010,card_nature_geography_010,nature_geography,世界で最も長い川「アマゾン川」に一つもない建造物は？,橋,流域面積世界一、長さも世界トップクラスのアマゾン川の本流には、一般の乗り物が渡れる「橋」が一つもありません。周辺が深いジャングルで道路網が発達していないことや、雨季に川幅が数十キロメートルにも広がることが理由です。移動は主に船が使われます。,地理学講義「世界の河川とインフラ」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_010,card_living_things_010,living_things,カタツムリの歯の数は、およそいくつある？,約2万本,カタツムリには「歯舌（しぜつ）」と呼ばれるおろし金のような器官があり、そこには約1万〜2万本以上の小さな歯が並んでいます。このおろし状の歯を使って、コンクリートや植物の葉を削り取るようにして食べています。歯の数では地球上で最も多い生き物の一種です。,軟体動物生態誌「歯舌の構造と進化」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_008,card_history_008,history,中世ヨーロッパの「騎士」の鎧の重さは平均どれくらい？,約25kg,中世の戦場で使われたフルプレートアーマー（全身板金鎧）の重さは、平均して約20〜30キログラム（現代の兵士の装備や消防士の防護服と同等）です。重量が全身に分散するように設計されていたため、騎士は鎧を着たままでも走ったり馬に乗ったりできました。,軍事史博物館「西洋甲冑の歴史と構造」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_007,card_science_007,science,ダイヤモンドを燃やすと、最終的に何に変わる？,煙（二酸化炭素）,ダイヤモンドは純粋な「炭素」の結晶であるため、酸素が十分にある環境で約800℃以上に加熱して燃やすと、すべて酸素と結びついて「二酸化炭素（気体）」になり、灰すら残さず完全に消えてなくなります。,基礎化学「炭素同素体の燃焼実験」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_010,card_food_010,food,カニのすり身で作る「カニカマ」を世界で初めて開発した国は？,日本,カニカマ（風味かまぼこ）は、1970年代に日本の食品メーカー（石川県の「スギヨ」や広島県の「大崎水産」など）が開発した日本発祥の食材です。現在では「Surimi」として世界中で愛される大ヒット食品となっています。,日本水産加工業協同組合連合会史,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_007,card_language_007,language,「うだつが上がらない」の「うだつ（卯建）」の正体は？,町家の屋根にある防火壁,「うだつ」とは、日本のおもに町家で隣家との境に設置された「防火壁（小さな屋根付きの壁）」のことです。これを作るには多額の費用がかかったため、うだつがある家は出世した裕福な家とされ、そこから「地位が上がらない、冴えない」状態を指す慣用句になりました。,建築意匠辞典「うだつ・町家の装飾」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_007,card_daily_life_007,daily_life,トランプのカードが「52枚」ある理由に関係するものは？,1年の週の数,トランプのジョーカーを除く52枚という数は、1年の「52週」を表しています。また、1つのマーク（13枚）は四季の各季節の週数を表し、カードの数字をすべて足してジョーカー（1）を加えると「365（1年の日数）」になるなど、暦と深い関係があります。,世界の室内ゲーム史「プレイングカードの暦」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_011,card_nature_geography_011,nature_geography,オーストラリアの首都はどこ？,キャンベラ,オーストラリアの首都は「キャンベラ」です。2大都市であるシドニーとメルボルンが首都の座を巡って激しく争ったため、1908年に両都市のほぼ中間地点に位置するキャンベラを新首都として建設し、妥協案として決定した歴史があります。,オーストラリア政府公式ウェブサイト,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_011,card_living_things_011,living_things,イヌの肉球にしかない、体の中で唯一の機能は？,汗をかく汗腺,イヌやネコは全身に汗腺を持たず、基本的にハアハアという呼吸（パンティング）で体温調節をしますが、唯一「肉球」の間にだけ、汗をかく「エクリン汗腺」があります。ここから汗をかくことで、滑り止めや足裏の乾燥を防ぐ役割を果たしています。,獣医解剖学「伴侶動物の皮膚生理」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_008,card_language_008,language,「サラダ記念日」で有名な歌人、俵万智が実際に食べた料理は？,鶏の唐揚げ,「この味がいいねと君が言ったから七月六日はサラダ記念日」の短歌で知られる料理のモデルは、実はサラダではなく「鶏の唐揚げ」でした。調理した唐揚げを当時の恋人に褒められた際、「唐揚げ記念日」では短歌の言葉の響きが良くないため「サラダ」に変更されました。,俵万智エッセイ集「サラダのそのあと」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_012,card_nature_geography_012,nature_geography,アフリカ大陸の最高峰「キリマンジャロ」の山頂にある珍しい自然現象は？,熱帯地方の氷河,"赤道に近いタンザニアに位置するキリマンジャロ（標高5,895メートル）ですが、その山頂付近には「氷河（万年雪）」が存在します。熱帯地域にありながら山頂が常に白く輝く神秘的な光景として知られますが、近年は地球温暖化などの影響で急速に縮小しています。",国連環境計画（UNEP）気候変動報告書,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_012,card_living_things_012,living_things,ウサギが自分の「うんち」を食べる理由は？,栄養をもう一度吸収するため,ウサギは一度の消化では植物の栄養を十分に吸収できないため、「盲腸糞（もうちょうふん）」と呼ばれる、ビタミンやタンパク質が豊富に含まれた柔らかい糞を出します。これを直接口をつけて再び食べる（食糞）ことで、大切な栄養を効率よく体に摂取しています。,小動物臨床医学「草食哺乳類の消化生理」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_009,card_history_009,history,17世紀のオランダで、家が1軒買えるほどのバブルを起こした植物は？,チューリップ,1630年代のオランダで起きた世界最古の経済バブルが「チューリップ・バブル」です。珍しい斑点模様の球根に異常な高値がつき、たった1個の球根と引き換えに、高級住宅1軒や職人の年収の数倍の資産が取引されるという狂乱事態にまで発展しました。,経済史「世界の大バブルと恐慌」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_008,card_science_008,science,1円玉の製造コスト（1枚あたり）は、およそいくら？,約3円,1円玉の材料であるアルミニウムの地金価格や人件費、製造工程のコストを合わせると、1枚作るのに「約2円〜3円」かかるとされています。そのため、作れば作るほど政府としては赤字になりますが、通貨の流通維持のために造幣局で製造されています。,造幣局「貨幣製造コスト推計資料」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_011,card_food_011,food,イチゴの表面にあるツブツブの、植物学上の正体は？,イチゴの果実,イチゴの表面にある小さなツブツブは、種ではなく1つひとつが独立した「果実（痩果）」です。それぞれのツブの中に本当の種が入っています。私たちが普段食べている赤い甘い部分は、果実ではなく、茎の先端が膨らんだ「花托（かたく）」という部分です。,植物分類学「偽果と真果の構造」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
