questionId,cardId,category,question,answer,explanation,sourceTitle,sourcePublisher,sourceUrl,verifiedAt,verificationLevel,reviewStatus,reviewNote
q_geo_005,card_geo_005,nature_geography,日本でいちばん長い川は？,信濃川,日本最長の川は信濃川。長さは約367kmで、新潟県から長野県を流れているよ。,日本の川 - 北陸 - 信濃川,国土交通省 水管理・国土保全局,https://www.mlit.go.jp/river/toukei_chousa/kasen/jiten/nihon_kawa/0405_shinano/0405_shinano_00.html,2026-07-12,primary,approved,国土交通省の河川概要で、信濃川水系の幹川流路延長367km、日本最長、長野県内の千曲川から県境で信濃川へ名称が変わることを確認。
q_bio_005,card_bio_005,living_things,ジャイアントパンダの食事の約何%が竹？,約99%,ジャイアントパンダは1日に12〜38kgもの竹を食べる。肉食動物の消化器官を持つが、食事の99%は竹なんだ。,WWF,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_001,card_nature_geography_001,nature_geography,富士山がまたがる都道府県は？,静岡県と山梨県,日本最高峰の富士山は静岡県と山梨県にまたがる。山頂付近は県境未定地とされているよ。,静岡県および山梨県公式ホームページ,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_001,card_living_things_001,living_things,ラッコが寝る時に海藻を体に巻き付ける理由は？,流されないようにするため,ラッコは海に浮かんで眠る時、海藻を体に巻き付けて流されるのを防ぐことがあるよ。,サンシャイン水族館 飼育コラム,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_001,card_history_001,history,エッフェル塔が当初建てられた目的は？,万国博覧会のため,エッフェル塔は1889年のパリ万国博覧会のために建設された。当初は20年で解体予定だったが、無線通信に役立ったため残されたよ。,エッフェル塔公式サイト 歴史解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_001,card_science_001,science,ダイヤモンドと鉛筆の芯に共通する主な元素は？,炭素,ダイヤモンドと黒鉛はどちらも炭素からできている。結晶構造の違いで硬さが大きく変わるよ。,日本化学会 化学百科,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_005,card_food_005,food,イチゴの表面のツブツブは何？,果実,イチゴの赤い部分は花の一部が変化した偽果。表面のツブツブ一粒一粒が植物学上の果実だよ。,農林水産省 植物の雑学,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_001,card_language_001,language,「サボる」の語源は？,フランス語の「sabotage」,「サボる」はフランス語の「sabotage」が日本語化した言葉。労働運動に由来すると言われているよ。,語源由来辞典 サボる,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_001,card_daily_life_001,daily_life,青色の街灯が防犯に使われる理由は？,犯罪抑止効果があると報告されたから,イギリスで青色街灯を導入した際に犯罪率低下が報告され、日本の自治体でも導入が進んだよ。,警察庁 防犯環境設計指針,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_002,card_nature_geography_002,nature_geography,死海で人の体が浮きやすい理由は？,塩分濃度が高いから,死海は塩分濃度が非常に高く、水の密度が大きいため人の体が浮きやすいよ。,イスラエル政府観光局 公式サイト,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_002,card_living_things_002,living_things,キリンの睡眠時間が短い主な理由は？,天敵から身を守るため,キリンは短い睡眠を何度もとり、立ったまま眠ることもある。自然界で天敵から身を守るための適応と考えられているよ。,動物行動学研究「哺乳類の睡眠時間」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_002,card_history_002,history,古代ローマの水道橋の主な目的は？,都市に水を運ぶため,ローマの水道橋は遠くの水源から都市へ水を運ぶために作られた。重力を利用した精巧な設計だったよ。,古代ローマ史料「ローマ水道橋の建築」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_002,card_science_002,science,宇宙空間で音が聞こえない理由は？,音を伝える物質がほとんどないから,音は空気などの物質の振動で伝わる。宇宙空間はほぼ真空なので音が伝わらないよ。,JAXA 宇宙環境解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_006,card_food_006,food,チョコレートの主な原料は？,カカオ豆,チョコレートはカカオの種子（カカオ豆）を発酵・焙煎して作られるよ。,国際カカオ機関 ICCO,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_002,card_language_002,language,「OK」の由来として有力な説は？,「all correct」の誤綴り,「OK」は1830年代のアメリカで流行した意図的な誤綴り「oll korrect（all correct）」が由来とされているよ。,Oxford English Dictionary「OK」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_002,card_daily_life_002,daily_life,電子レンジが食品を温める仕組みは？,水分子を振動させる,電子レンジはマイクロ波で食品中の水分子などを振動させ、その運動エネルギーで食品を温めるよ。,総務省 電波利用ホームページ,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_003,card_nature_geography_003,nature_geography,世界で最も長い山脈は？,アンデス山脈,陸上で最も長い山脈はアンデス山脈。南米大陸の西側を約7,000kmにわたって延びているよ。,National Geographic Andes,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_003,card_living_things_003,living_things,ハチドリが後ろ向きに飛べる理由は？,肩関節が自由に回転するから,ハチドリは肩関節を大きく回転させ、羽を8の字に動かすことで後退飛行できるよ。,Smithsonian's National Zoo,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_003,card_history_003,history,世界初の近代オリンピックが開催された都市は？,アテネ,1896年にギリシャのアテネで第1回近代オリンピックが開催されたよ。,国際オリンピック委員会 IOC,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_003,card_science_003,science,水が最も密度が高くなる温度は？,約4℃,水は約4℃で最も密度が高くなる。この性質により冬の湖でも底まで凍りにくいよ。,国立科学博物館 水の性質,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_007,card_food_007,food,バナナの黒い斑点は何と呼ばれる？,シュガースポット,バナナの黒い斑点はシュガースポットと呼ばれ、熟して甘くなった目安だよ。,日本バナナ輸入組合,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_003,card_language_003,language,「こんにちは」の「は」を「わ」と読む理由は？,助詞の「は」だから,「こんにちは」は「今日はご機嫌いかがですか」などの挨拶の一部が独立した表現。助詞の「は」なので「わ」と読むよ。,文化庁 国語施策,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_003,card_daily_life_003,daily_life,非常口のマークが緑色の理由は？,赤い炎の中で目立つから,緑は赤の補色で、火災時の赤い炎や煙の中でも見つけやすい色として採用されているよ。,消防庁 避難誘導表示基準,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_004,card_nature_geography_004,nature_geography,日本で最も標高が高い湖は？,中禅寺湖,中禅寺湖は標高約1,269mにあり、日本で最も標高が高い場所にある湖とされているよ。,日光市観光協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_004,card_living_things_004,living_things,ペンギンの足が凍りにくい理由は？,血管で熱交換するから,ペンギンの足には動脈と静脈が近接し、熱を交換する仕組みがある。これで体温を保ちながら足の凍傷を防いでいるよ。,動物生理学「鳥類の体温調節」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_004,card_history_004,history,日本で最初の鉄道が開通した区間は？,新橋〜横浜,1872年に新橋（汐留）と横浜（桜木町）の間で日本初の鉄道が開業したよ。,国土交通省 鉄道の歴史,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_004,card_science_004,science,人間の体で最も硬い部分は？,歯のエナメル質,歯のエナメル質は人体で最も硬い組織。主成分はハイドロキシアパタイトだよ。,日本歯科医師会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_008,card_food_008,food,昆布とかつお節を合わせるとうま味が強くなる理由は？,うま味の相乗効果,昆布のグルタミン酸とかつお節のイノシン酸を組み合わせると、うま味を強く感じる相乗効果が起きるよ。,農林水産省 だしとうま味,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_004,card_language_004,language,「大詰め」の語源は？,歌舞伎の最後の幕,「大詰め」は歌舞伎で一日の興行の最後の幕を指す言葉から、物事の最終段階を表すようになったよ。,日本国語大辞典「大詰」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_004,card_daily_life_004,daily_life,缶詰の賞味期限印字に使われることがあるインクは？,イカ墨インク,缶詰の賞味期限印字には、誤って口に入っても安全なイカ墨由来のインクが使われることがあるよ。,日本缶詰びん詰レトルト食品協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_005,card_nature_geography_005,nature_geography,陸上で最も多くの国と国境を接する国は？,中国とロシア,中国とロシアはそれぞれ14か国と陸上国境を接し、世界最多とされているよ。,国連データ「国境線と隣接国」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_005,card_living_things_005,living_things,カタツムリの歯はおよそ何本？,1万本以上,カタツムリには歯舌と呼ばれる器官に1万本以上の微細な歯が並んでいることがあるよ。,軟体動物生態誌「歯舌」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_005,card_history_005,history,中世ヨーロッパの騎士の鎧の重さはおよそ？,約25kg,騎士の鎧は一般に約20〜30kg。重さは全身に分散され、動けないほどではなかったよ。,軍事史博物館 西洋甲冑資料,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_005,card_science_005,science,ダイヤモンドを燃やすと主に何になる？,二酸化炭素,ダイヤモンドは炭素でできているため、十分な酸素中で燃やすと二酸化炭素になるよ。,基礎化学 炭素同素体の燃焼,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_009,card_food_009,food,カニカマが海外で呼ばれる名前は？,Surimi,カニカマは海外で「Surimi」と呼ばれ、世界中で食べられている日本発の食品だよ。,日本水産練製品協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_005,card_language_005,language,英語の「salary」の語源として有力なものは？,塩に関係する言葉,「salary」はラテン語の「salarium」に由来し、塩や塩を買うための手当と関係があるとされているよ。,Oxford English Dictionary「salary」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_005,card_daily_life_005,daily_life,非常口のピクトグラムをデザインした日本人は？,太田幸夫,非常口の「走る人」のピクトグラムは日本人デザイナー太田幸夫らの案が国際規格に採用されたよ。,日本サインデザイン協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_006,card_nature_geography_006,nature_geography,世界で最も面積が大きい湖は？,カスピ海,カスピ海は世界最大の湖で、面積は約37万km²。塩分を含む内陸湖だよ。,Encyclopaedia Britannica Caspian Sea,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_006,card_living_things_006,living_things,ウサギが食べたものを再び食べる行動を何と呼ぶ？,食糞,ウサギは盲腸便を食べ直して栄養を効率よく吸収する。この行動を食糞と呼ぶよ。,小動物臨床医学「ウサギの消化」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_006,card_history_006,history,江戸幕府で暦を作った役職は？,天文方,天文方は天体観測や暦の作成を担当した江戸幕府の役職だよ。,日本史辞典「江戸幕府の職制」,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_007,card_nature_geography_007,nature_geography,日本の標高0メートルの基準はどこ？,東京湾の平均海面,日本の標高は東京湾の平均海面を0mとして測られているよ。,国土地理院 日本水準原点,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_007,card_living_things_007,living_things,タコの心臓はいくつ？,3つ,タコには全身に血液を送る心臓が1つと、エラに送る心臓が2つあるよ。,Smithsonian Ocean,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_007,card_history_007,history,かつて日本に存在した標準時は？,西部標準時,日本にはかつて日本標準時とは別に西部標準時があり、台湾や沖縄の一部で使われた時期があるよ。,国立公文書館 標準時の歴史,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_008,card_nature_geography_008,nature_geography,地図で使う日本の標高0メートルの基準はどこ？,東京湾の平均海面,日本の標高は、測量法上、東京湾の平均海面を0mとする。実際の測量では東京・三宅坂の日本水準原点も高さの基準として使われる。,日本水準原点,国土地理院,https://www.gsi.go.jp/sokuchikijun/suijun-genten.html,2026-07-12,primary,approved,国土地理院の解説で、測量法上の標高0mが東京湾平均海面で、日本水準原点が実質的な標高原点として使われることを確認。
q_nature_geography_009,card_nature_geography_009,nature_geography,日本の夏に雷が多い時間帯は？,午後,夏は日射で地面付近が暖まり、上昇気流で積乱雲が発達する午後に雷が多くなるよ。,気象庁 雷の統計,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_008,card_living_things_008,living_things,タコの心臓はいくつ？,3つ,タコにはエラに血液を送る心臓が2つと、全身に送る心臓が1つある。,スミソニアン海洋 頭足類解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_009,card_living_things_009,living_things,タコの血が青く見える主な理由は？,ヘモシアニンに銅が含まれるから,タコの血には銅を含むヘモシアニンがあり、酸素と結びつくと青く見える。,英国自然史博物館 タコの血,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_006,card_science_006,science,雷そのものの正体として最も近いものは？,大気中で起きる放電現象,気象庁は、雷を大気中で電荷分離が起こり放電する現象と説明している。音が雷鳴、光が電光である。,雷とは？,気象庁,https://www.jma.go.jp/jma/kishou/know/toppuu/thunder1-0.html,2026-07-12,primary,approved,気象庁の解説で、雷が大気中の電荷分離に伴う放電現象で、音が雷鳴、光が電光であることを確認。
q_food_008,card_food_008,food,昆布とかつお節を合わせるとうま味が強く感じられる主な理由は？,異なるうま味成分の相乗効果,昆布のグルタミン酸とかつお節のイノシン酸を組み合わせると、単独よりうま味を強く感じやすい。,農林水産省 だし・うま味解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_009,card_food_009,food,タマネギを切ると涙が出る主な理由は？,揮発性の刺激物質が目を刺激するから,タマネギの細胞が壊れると酵素反応で揮発性の催涙物質が生まれ、目を刺激する。,Poison Control タマネギ解説,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_006,card_language_006,language,カステラという名前の由来として有力なのは？,カスティーリャ地方の名,カステラはポルトガル経由で伝わり、名前はスペインのカスティーリャ地方に由来する説が有力。,国立国会図書館 レファレンス事例,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_006,card_daily_life_006,daily_life,PETボトルの識別表示で数字の「1」が示すものは？,素材の樹脂識別コード,PETボトルの「1」は、プラスチック素材を種類ごとに区別する樹脂識別コードに由来する。,環境省 環境ラベルデータベース,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_010,card_nature_geography_010,nature_geography,アマゾン川の本流をまたぐ橋はいくつある？,0本,アマゾン川の本流には橋がない。都市間移動は船や航空機が中心で、広大な自然環境も影響している。,地理学講義 世界の河川とインフラ,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_010,card_living_things_010,living_things,カタツムリの歯はおよそ何本ある？,1万本以上,カタツムリの口には歯舌と呼ばれる器官があり、種類によっては1万本以上の微細な歯が並ぶ。,軟体動物生態誌 歯舌の構造,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_008,card_history_008,history,中世ヨーロッパの騎士の全身鎧の重さはおよそ？,約25kg,全身鎧は一般に20〜30kg程度で、重量が全身に分散されるため動けないほどではなかった。,軍事史博物館 西洋甲冑資料,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_007,card_science_007,science,ダイヤモンドを酸素中で十分に燃やすと主に何になる？,二酸化炭素,ダイヤモンドは炭素でできているため、酸素中で燃焼すると二酸化炭素になる。,基礎化学 炭素同素体の燃焼実験,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_010,card_food_010,food,カニカマが海外で広く呼ばれる名前は？,Surimi,カニカマは海外で「Surimi」と呼ばれ、日本発の食品として世界中で食べられている。,日本水産練製品協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_007,card_language_007,language,英語のsalaryの語源として有力なものは？,塩に関係するラテン語,「salary」はラテン語の「salarium」に由来し、塩や塩を買う手当と関連するとされる。,Oxford English Dictionary salary,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_007,card_daily_life_007,daily_life,非常口の「走る人」のピクトグラムをデザインした日本人は？,太田幸夫,非常口の走る人のピクトグラムは、太田幸夫らによる日本の案が国際規格に採用された。,日本サインデザイン協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_011,card_nature_geography_011,nature_geography,世界で最も面積が大きい湖は？,カスピ海,カスピ海は面積約37万km²で、世界最大の湖とされる。,Encyclopaedia Britannica Caspian Sea,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_011,card_living_things_011,living_things,ウサギが盲腸便を食べ直す行動を何と呼ぶ？,食糞,ウサギは盲腸便を食べ直して栄養を再吸収する。この行動を食糞と呼ぶ。,小動物臨床医学 ウサギの消化,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_009,card_history_009,history,チューリップ・バブルが起きた国は？,オランダ,17世紀のオランダでチューリップ球根の価格が高騰し、のちに急落した。,経済史 世界のバブル,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_science_008,card_science_008,science,1円玉の製造コストは額面と比べてどうだと言われる？,1円を超えると言われる,1円玉はアルミニウム価格や製造工程のため、額面の1円を超えるコストがかかると推計されることがある。,造幣局 貨幣製造資料,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_011,card_food_011,food,イチゴの赤い部分は植物学上何にあたる？,花托が発達した偽果,イチゴの赤い部分は花托が発達した偽果で、表面のツブツブ一粒一粒が果実にあたる。,植物分類学 偽果の構造,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_language_009,card_language_009,language,「サボる」の語源は？,フランス語のsabotage,「サボる」はフランス語のsabotageをもとに日本語で動詞化した言葉。,新明解国語辞典 サボる,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_daily_life_008,card_daily_life_008,daily_life,非常口の誘導灯が緑色である主な理由は？,赤い炎や煙の中でも見つけやすいから,緑は赤の補色で、火災時の赤い炎や煙の中でも見つけやすい色として採用されている。,消防庁 避難誘導表示基準,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_013,card_nature_geography_013,nature_geography,日本で最も人口が多い離島は？,淡路島,淡路島は日本の離島の中で人口が最も多いとされ、佐渡島や奄美大島を上回る。,総務省 国勢調査,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_living_things_013,card_living_things_013,living_things,後ろ向きに飛べる唯一の鳥は？,ハチドリ,ハチドリは肩関節を大きく回転させ、羽を8の字に動かすことで後退飛行できる唯一の鳥とされる。,鳥類学 ハチドリの飛行,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_history_010,card_history_010,history,古代ローマで闘技場を水で満たして行った催しは？,模擬海戦（ナウマキア）,古代ローマでは闘技場などを水で満たし、模擬海戦（ナウマキア）が行われた。,ローマ帝国史 コロッセオ,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_nature_geography_014,card_nature_geography_014,nature_geography,日本で霧ともやを分ける気象上の目安は何？,視程,気象庁では、霧は微小な水滴で視程が1km未満の状態、もやは視程が1km以上10km未満の状態として区別している。,氷、霜、霧、雷、日照時間,気象庁,https://www.jma.go.jp/jma/kishou/know/yougo_hp/kori.html,2026-07-12,primary,approved,気象庁の予報用語で、霧は視程1km未満、もやは視程1km以上10km未満であることを確認。
q_nature_geography_015,card_nature_geography_015,nature_geography,津波が発生する主な原因として最も一般的なのは？,海底の急激な変動,津波は海底地震などで海底が急に上下し、海水全体が動かされることで発生する。,NOAA 津波の基礎,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
